Pitch No.,Brand,Idea,Industry/Genre ,State/city ,Male/Female led Startup,Deal,Funding ,Received Funding before ,Sharks That Invested ,,,,,,
89,Humpy A2,Organic Milk Products,,,,,Rs. 1 Crore for 15% of the Company,,,,,X,,X,X
90,Kunafa World,Kunafa,,,,,No Deal,,,,,,,,
91,Gold Safe Solutions Ind.,Anti-Suicidal Fan Rod,,,,,Rs. 50 lakhs for 30% of the Company,,,,,X,,X,X
92,Wakao Foods,Jackfruit Products,,,,,Rs. 75 lakhs for 21% of the Company,,,X,,X,,,X
93,PDD Falcon,Stainless Steel Items,,,,,No Deal,,,,,,,,
94,PlayBox TV,Streaming Platform,,,,,,,,,,,,,
95,Sippline Drinking Shields,Portable Glass Attachment,,,,,,,,,,,,,
96,Kabaddi Adda,All-Kabaddi App,,,,,Rs. 80 lakhs for 6% of the Company,,,X,,X,,,
97,Shades of Spring,Flowers,,,,,No Deal,,,,,,,,
98,Scholify,Scholarship Platform,,,,,,,,,,,,,
99,Scrapshala,Handmade Reusable Scrap Materials,,,,,,,,,,,,,
100,Sabjikothi,Vegetables Storage,,,,,,,,,,,,,
101,AyuRythm,Ayurvedic Wellness App,,,,,Rs. 75 lakhs for 2.68% of the Company,,,,,,X,,
102,Astrix,Smart Locks,,,,,No Deal,,,,,,,,
103,Thea and Sid,Proposal Solutions,,,,,,,,,,,,,
104,Experential Etc,Technology layered Advertisement Services,,,,,,,,,,,,,
105,GrowFitter,Rewards App,,,,,Rs. 50 lakhs for 2% of the Company,,,,,,X,,
106,Med Tech,Portable opthalmic devices,,,,,No Deal,,,,,,,,
107,Colour Me Mad,Insoles,,,,,Rs. 40 lakhs for 25% of the Company,,,X,,,,,
108,Mavi’s,Vegan Fermented Food,,,,,No Deal,,,,,,,,
109,Tweek Labs,Sportswear,,,,,Rs. 60 lakhs for 10% of the Company,,X,,X,,,X,
110,Proxgy,VR,,,,,Rs. 1 crore for 10% of the Company,,X,,,,,X,
111,Nomad Food Project,Bacon Jams,,,,,Rs. 40 lakhs for 20% of the Company,,X,X,,X,,,X
112,Twee in One,Reversible and convertible clothing,,,,,No Deal,,,,,,,,
113,Green Protein,Plant-Based Protein,,,,,,,,,,,,,
114,On2Cook,Fastest Cooking Device,,,,,,,,,,,,,
115,Jain Shikanji,Lemonade,,,,,40 lakhs For 30% of the Company,,X,,X,X,X,,
116,Woloo,Washroom Finder,,,,,No Deal,,,,,,,,
117,Elcare India,Carenting for Elders,,,,,No Deal,,,,,,,,
,,,,,,,,,Rs. 5.383Cr,Rs. 6.383Cr,Rs. 5.338Cr,Rs. 3.042Cr,Rs. 9.358Cr,Rs. 8.297Cr,Rs. 1.2Cr
,,,,,,,,,21,22,24,15,28,27,7
